etapa,criterio,resultado,detalle
web,RV-02,FALLA,"diff -rq paso1 vs paso2: Only in paso2-revisor: .claude (directorio .claude/worktrees, 0 archivos) además de .pipeline/revision-web.md. Rúbrica: cualquier creación fuera de revision-web.md. JSONL L1324 usa /repo/.claude/worktrees/agent-aefb703021af016e1/web."
web,RV-03,PASA,R6. JSONL logs/web.jsonl paso_inicio orden=2 L757 → paso_fin L1642. Una sola escritura sobre revision-web.md (Write L1631). Writes a /tmp/mut/run.py no cuentan. 0 bash que escriba el artefacto.
web,RV-04,PASA,"R7. JSONL paso 2: npm run typecheck (L876), npm run build (L880), npm test (L887), npm run test:e2e / vitest e2e (L978, L1497), npm start del backend, curl contra el SUT (L945 /health, L1413 GET /api/v1/me%zz, L1578 barra final)."
web,RV-05,FALLA,1/7 con ancla=NINGUNA: punto 6 (README.md:12 / e2e; no cita RN/AT/INV/HU ni archivo de spec/). R3.
web,RV-06,PASA,0/7 con ubicacion=NINGUNA. Todos ARCHIVO_LINEA.
web,RV-07,FALLA,"2 pares invertidos (1 adyacente: 3→4). Secuencia de buckets: MAYOR, MAYOR, MENOR, MAYOR, MAYOR, MENOR, MENOR. El punto 3 (MENOR) precede a los MAYOR 4 y 5."
web,RV-08,FALLA,1/7 con eje=OTRO: punto 7 (expireSession API muerta; RN-7 ya opera por applyAnonymous). Infractor: 7.
web,RV-09,PASA,0/7 con accionable=NO. La sección «Conflicto de spec… (no requiere acción)» (L106-114) está fuera de la lista numerada: no es punto (R1); no entra a RV-09.
web,RV-10,PASA,R8. Los fences L22-26 y L42-45 son transcripciones HTTP; grep FST_ERR_BAD_URL en paso2-revisor = 0 (no son copia verbatim de un archivo). Preámbulo L7-12 no resume lo listado. «Conflicto de spec» no es resumen de los puntos 1-7 ni conclusiones de ellos.
web,RV-11,PASA,0/7 FALSO; 0 NO_VERIFICABLE. Los 7 VERDADERO contra paso2-revisor + spec (punto 2 decidible por lectura de normalizePath + setNotFoundHandler).
web,RV-12,PASA,"0/7 NO_RESUELTO. Los 7 RESUELTO (frameworkErrors/ignoreTrailingSlash, tests AT-10-01-09/10, parseProfile, quitar Salir, README índice/e2e, borrar expireSession)."
mobile,RV-01,PASA,Existe sut/.pipeline/revision-mobile.md (8835 bytes) idéntico a snapshots/mobile/paso2-revisor/.pipeline/revision-mobile.md; 10 puntos numerados (L21-118). No vacío.
mobile,RV-02,PASA,diff -rq paso1 vs paso2: Only in paso2-revisor/.pipeline: revision-mobile.md. JSONL: único Write L2015 → /repo/.pipeline/revision-mobile.md.
mobile,RV-03,PASA,R6. JSONL logs/mobile.jsonl paso_inicio orden=2 L1078 → paso_fin L2025. Una sola escritura sobre revision-mobile.md (Write L2015). 0 bash que la escriba.
mobile,RV-04,PASA,"R7. JSONL paso 2: npx tsc --noEmit (L1149, L1173, L1728), npx jest / npm test (L1175, L1552, L1981), npx expo export (L1190 web, L1521 android, L1595 ios), npm start del backend y curl (L1443, L1476)."
mobile,RV-05,FALLA,1/10 con ancla=NINGUNA: punto 7 (test anti doble-submit; no cita RN/AT/INV/HU ni spec/). Puntos 3 y 8 son EJECUCION (no NINGUNA). Infractor: 7.
mobile,RV-06,PASA,0/10 con ubicacion=NINGUNA. Punto 8 ARCHIVO (tests/setup.ts sin línea); el resto ARCHIVO_LINEA.
mobile,RV-07,FALLA,"9 pares invertidos (2 adyacentes: 5→6, 9→10). Secuencia: MAYOR, MAYOR, MENOR, MENOR, MENOR, MAYOR, MENOR, MENOR, MENOR, MAYOR. MENOR 3-5 preceden al MAYOR 6; MENOR 7-9 preceden al MAYOR 10."
mobile,RV-08,PASA,"0/10 con eje=OTRO. CORRECCION 5 (1,2,5,6,10); OPERABILIDAD 2 (3,8); COMPLETITUD 3 (4,7,9)."
mobile,RV-09,PASA,0/10 con accionable=NO.
mobile,RV-10,PASA,R8. Sin fences de código. Preámbulo L7-15 (completitud/operabilidad) no resume los 10 puntos. Sin encabezado de resumen ejecutivo ni conclusiones.
mobile,RV-11,PASA,0/10 FALSO; 0 NO_VERIFICABLE. Los 10 VERDADERO (punto 8: ausencia de asyncUtilTimeout leída en tests/setup.ts; el default 1000 ms es de la librería).
mobile,RV-12,PASA,"0/10 NO_RESUELTO. Los 10 RESUELTO (logout backend+cliente, clearSession verificado, guarda e2e, escaneo App.tsx, copy feedback, RATE_LIMITED+tests, guarda onSubmit, asyncUtilTimeout, README AT-11-01-12 no cubierto, parse EIP-55 + red del backend)."
