etapa,criterio,resultado,detalle
mobile,RV-01,PASA,"Existe snapshots/mobile/paso2-revisor/.pipeline/revision-mobile.md (3431 B, 6 puntos). sut/.pipeline/revision-mobile.md identico. JSONL L194 paso_inicio orden=2; L345 paso_fin codigo_salida=0 salida_escrita=true."
mobile,RV-02,PASA,diff -rq paso1 vs paso2: Only in paso2-revisor/.pipeline: revision-mobile.md. JSONL file_change completed L340 kind=add /repo/.pipeline/revision-mobile.md. git status L318/L337 ?? .pipeline/ (backend+web ya estaban); L342 lee el md. Snapshot sin otros diffs.
mobile,RV-03,PASA,"R6: una sola escritura. file_change item_73 add revision-mobile.md (L340 completed). L342 sed -n solo lee. Sin >, >>, tee ni parches extra sobre esa ruta."
mobile,RV-04,PASA,R7: L311 npm run build; L312 npm run typecheck:mobile; L313 npm run test:mobile (20 tests); L314 npm test; L316 npm run export:mobile (expo export android/ios); L333 npx expo-doctor@latest.
mobile,RV-05,PASA,"0 puntos con ancla=NINGUNA. SPEC: 1,2,3,4,6; EJECUCION: 5 (expo-doctor; R3)."
mobile,RV-06,PASA,0 puntos con ubicacion=NINGUNA. 6/6 ARCHIVO_LINEA.
mobile,RV-07,FALLA,"1 inversion: punto 5 (MENOR, extra property app.json / expo-doctor, sin AT/RN y el export pasa) precede al punto 6 (MAYOR, RN-4 via RG-6). Orden rubricado: MAYOR, MAYOR, MAYOR, MAYOR, MENOR, MAYOR. R2 usa buckets de la rubrica, no Alta/Media/Baja."
mobile,RV-08,PASA,"0 puntos eje=OTRO. CORRECCION: 1,2,4,6; OPERABILIDAD: 3,5."
mobile,RV-09,PASA,0 puntos accionable=NO. 6/6 SI.
mobile,RV-10,PASA,"R8: seis items de lista (L1,3,5,7,9,11) sin resumen ejecutivo, conclusiones ni bloques fenceados. Prosa vacia entre items no es punto (R1) ni relleno de resumen."
mobile,RV-11,PASA,0 FALSO. 6/6 VERDADERO. 0 NO_VERIFICABLE.
mobile,RV-12,PASA,0 NO_RESUELTO. 6/6 RESUELTO (AuthContext+session-storage; DepositScreen; usePrivateSocket; LoginScreen rate-limit y password; app.json sin newArchEnabled; tests asociados). Snapshot paso3 presente.
