candidato,id,celda,ubicacion,cita,categoria,veredicto,ocurrencias,justificacion,refs
K-011,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:31,Normalizar con `toChecksumAddress()` al cargar la config (y rechazar una entrada,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-012,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:32,mixed-case cuyo checksum no verifique).,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-013,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:43,4. **RN-8 mal generalizado: una clave BIP-32 inválida en un paso intermedio del path,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-014,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:45,"`backend/src/wallet/crypto/derivation.ts:98-107`, en particular la línea 102",,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-015,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:48,"ignorando `error.index` (que sí lleva el nivel, `bip32.ts:38-46`). Como `deriveAccountAt`",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-016,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:56,"es un cuelgue, no un error. **BIP-32** (""proceed with the next value for **i**"" se refiere",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-017,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:93,8. **`normalizeMnemonic` colapsa los separadores antes de PBKDF2.**,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-018,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:94,"`backend/src/wallet/crypto/bip39.ts:47` (`.trim().replace(/\s+/gu, ' ')`), usado como",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-019,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:96,"`password = mnemonic_NFKD` (BIP-39 §*From mnemonic to seed*: la frase en UTF-8 NFKD, sin",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-020,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:97,"otra transformación). Con un `WALLET_MNEMONIC` importado con espacios irregulares, la seed",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-021,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:99,direcciones — lo que rompería **AT-06-03-07** (coincidencia con una implementación BIP-44,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-022,,celda-en-evaluacion,sut/.pipeline/revision-backend.md:101,PBKDF2 el mnemonic NFKD sin colapsar.,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-023,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:10,"(registro por API, login desde la UI, dirección con checksum EIP-55, QR EIP-681 de ETH y de",,CORRECTO,1,"Uso correcto de ERC-681: `ethereum:` [`pay-`] target [`@` chain_id decimal] [`/` function] [`?` params]; sin function_name = pago nativo; ERC-20 = `transfer` con parámetro `address` (corpus/documentos/erc-681.md, Specification Syntax/Semantics). chainId 11155111 lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1 (§2.6).",
K-024,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:13,"422 `VALIDATION_ERROR` ante `asset` inválido/ausente, 401 sin token). El EIP-55 de",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-025,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:14,`src/onchain/address.ts` pasa los vectores oficiales de ERC-55; los URIs EIP-681 coinciden,,CORRECTO,1,"Uso correcto de ERC-681: `ethereum:` [`pay-`] target [`@` chain_id decimal] [`/` function] [`?` params]; sin function_name = pago nativo; ERC-20 = `transfer` con parámetro `address` (corpus/documentos/erc-681.md, Specification Syntax/Semantics). chainId 11155111 lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1 (§2.6).",
K-026,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:113,"string no vacío, cuando `HU-09-01` RN-10 define `0x` + 40 hex con checksum EIP-55. El",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-027,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:114,síntoma queda contenido aguas abajo (QR nulo + advertencia de checksum en,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-028,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:116,`network` y `chainId` se parsean (`:36-37`) y nunca se usan: la pantalla imprime el,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-029,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:117,"`CHAIN_ID` constante de `src/config.ts:21`, así que un backend apuntado a otra red se",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-030,,celda-en-evaluacion,sut/.pipeline/revision-mobile.md:118,mostraría igual como Sepolia (`HU-11-06` RN-2 exige indicar la red correcta).,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-031,,celda-en-evaluacion,sut/README.md:33,"| `06` Wallet HD y direcciones | `HU-06-01` generación/custodia del seed, `HU-06-02` derivación BIP-32/BIP-44, `HU-06-03` asignación de dirección de depósito, `HU-06-04` consulta de dirección de depósito |",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-032,,celda-en-evaluacion,sut/README.md:67,"(BIP-32/39/44, Keccak-256, EIP-55) y las etapas siguientes son React y React Native: un único",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-033,,celda-en-evaluacion,sut/README.md:83,"Keccak-256, secp256k1): auditadas, sin dependencias nativas. **Los estándares se implementan",,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-034,,celda-en-evaluacion,sut/README.md:84,"en este repositorio** (`backend/src/wallet/crypto/`) siguiendo el texto normativo de BIP-39,",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-035,,celda-en-evaluacion,sut/README.md:85,"BIP-32, BIP-44 y EIP-55, y se verifican con los known-answer tests de la spec; no se delega",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-036,,celda-en-evaluacion,sut/README.md:119,export ETH_RPC_URL=http://host.docker.internal:8545,,CORRECTO,1,"§2: uso trivial o correcto del término de dominio (identificador, código de error, columna, import o mención) sin afirmación falsa identificable sobre un estándar. No aplica C1–C6.",
K-037,,celda-en-evaluacion,sut/README.md:140,"| `WALLET_MNEMONIC` | no | — | mnemonic BIP-39 de **24 palabras** a importar. Si se omite y no hay seed, se genera uno con 256 bits de entropía del CSPRNG. Un mnemonic inválido aborta el arranque sin persistir nada |",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-038,,celda-en-evaluacion,sut/README.md:141,"| `WALLET_MNEMONIC_PASSPHRASE` | no | `""""` | passphrase BIP-39 |",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-039,,celda-en-evaluacion,sut/README.md:142,| `ETH_RPC_URL` | no | — | endpoint **JSON-RPC** de la red (Sepolia). Es configuración: no hay ninguna URL fija en el código |,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-040,,celda-en-evaluacion,sut/README.md:143,| `USDC_CONTRACT_ADDRESS` | **sí** | — | dirección del ERC-20 USDC-mock del entorno; se devuelve como `tokenAddress` cuando `asset=USDC`. **No tiene default**: `activos-y-par-de-trading.md` §2.2 la define como parámet…,,CORRECTO,1,"USDC-mock como token ERC-20 del proyecto (spec/00-fundaciones/activos-y-par-de-trading.md §2.2); no se atribuye a ERC-20 una semántica falsa (p. ej. revert obligatorio de `transfer`) (corpus/documentos/erc-20.md, Specification).",
K-041,,celda-en-evaluacion,sut/README.md:147,### Sobre el nodo JSON-RPC,,CORRECTO,1,"JSON-RPC: `eth_chainId` existe y retorna quantity hex; `eth_getBalance(address, block)` existe (corpus/documentos/ethereum-json-rpc.md, §eth_chainId y §eth_getBalance; Conventions Hex value encoding). No hay método inventado.",
K-042,,celda-en-evaluacion,sut/README.md:149,"La red es única: **Sepolia, chainId `11155111`** (constante de la spec, no configurable). La URL",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-043,,celda-en-evaluacion,sut/README.md:150,del nodo sí es configuración (`ETH_RPC_URL`). Al arrancar (y cada 30 s) el servicio sondea,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-044,,celda-en-evaluacion,sut/README.md:151,`eth_chainId`; el resultado se publica en `GET /health` bajo `chain.rpc.status`:,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-045,,celda-en-evaluacion,sut/README.md:153,- `OK` — el nodo responde `11155111`.,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-046,,celda-en-evaluacion,sut/README.md:154,- `MISMATCH` — el nodo responde otra red: se registra `code=CHAIN_ID_MISMATCH` en `stderr` y el,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-047,,celda-en-evaluacion,sut/README.md:174,"#  ""chain"":{""network"":""sepolia"",""chainId"":""11155111"",""rpc"":{""status"":""OK"",""chainId"":""11155111"",...}}}",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-048,,celda-en-evaluacion,sut/README.md:196,"# 200 {""asset"":""USDC"",""address"":""0x…"",""network"":""sepolia"",""chainId"":""11155111"",",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-049,,celda-en-evaluacion,sut/README.md:197,"#      ""derivationPath"":""m/44'/60'/0'/0/0"",""tokenAddress"":""0x…""}",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-050,,celda-en-evaluacion,sut/README.md:225,infra/        base SQLite (esquema y helpers) y cliente JSON-RPC,,CORRECTO,1,"JSON-RPC: `eth_chainId` existe y retorna quantity hex; `eth_getBalance(address, block)` existe (corpus/documentos/ethereum-json-rpc.md, §eth_chainId y §eth_getBalance; Conventions Hex value encoding). No hay método inventado.",
K-051,,celda-en-evaluacion,sut/README.md:228,"crypto/     BIP-39, BIP-32, BIP-44, Keccak-256 + EIP-55 (funciones puras)",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-052,,celda-en-evaluacion,sut/README.md:252,"mnemonic inválido, fallo de descifrado o smoke test de integridad fallido, el proceso **aborta",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-053,,celda-en-evaluacion,sut/README.md:256,fallback idempotente. Los índices saltados por una clave BIP-32 inválida (~2⁻¹²⁷) se registran,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-054,,celda-en-evaluacion,sut/README.md:300,"| `tests/wallet-crypto.test.ts` | HU-06-02 (known-answer tests BIP-39/BIP-32/BIP-44, vectores EIP-55, borde de clave inválida y rango del `address_index`) y los vectores de HU-06-01 |",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-055,,celda-en-evaluacion,sut/README.md:372,| 1 | Un `chainId`/`network` **repetido** en la query (`?asset=ETH&chainId=1&chainId=1`) llegaba como array y salteaba la validación de red: respondía `200` | Se evalúa **cada** valor recibido ⇒ `422 CHAIN_ID_MISMATCH…,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-056,,celda-en-evaluacion,sut/README.md:373,| 2 | `tokenAddress` salía sin checksum si `USDC_CONTRACT_ADDRESS` venía en minúsculas | Se normaliza a EIP-55 al cargar la config; una entrada mixed-case con checksum inválido impide el arranque |,,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-057,,celda-en-evaluacion,sut/README.md:375,| 4 | Una clave BIP-32 inválida en un nivel **intermedio** del path degeneraba en 2³¹ reintentos idénticos dentro de la transacción de alta (un cuelgue) | `InvalidChildKeyError` lleva el `depth` del path: sólo se salt…,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-058,,celda-en-evaluacion,sut/README.md:379,| 8 | `normalizeMnemonic` colapsaba los separadores antes de PBKDF2 | BIP-39 usa la frase NFKD tal cual como password: la forma colapsada se usa **sólo** para validar (RN-2) |,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-059,,celda-en-evaluacion,sut/README.md:387,automáticamente. El punto 8 cambia la seed derivada **sólo** para un `WALLET_MNEMONIC`,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-060,,celda-en-evaluacion,sut/README.md:388,importado con espaciado irregular; con un mnemonic normal (una sola separación por palabra) la,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-061,,celda-en-evaluacion,sut/README.md:709,"| `HU-11-06` — Depósitos y retiros | **Sólo la pantalla de depósito**: dirección de depósito de la cuenta con su **QR** (URI EIP-681), copiar al portapapeles e indicación de red/activo (Escenarios 1 y 26, `AT-11-06-01…",,CORRECTO,1,"Uso correcto de ERC-681: `ethereum:` [`pay-`] target [`@` chain_id decimal] [`/` function] [`?` params]; sin function_name = pago nativo; ERC-20 = `transfer` con parámetro `address` (corpus/documentos/erc-681.md, Specification Syntax/Semantics). chainId 11155111 lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1 (§2.6).",
K-062,,celda-en-evaluacion,sut/README.md:727,"| Depositar | `HU-11-06` (Esc. 1 y 26) | Selector ETH / USDC-mock, QR EIP-681, dirección con checksum EIP-55, botón de copiar, red Sepolia (`chainId 11155111`), y cierre de sesión |",,CORRECTO,1,"Uso correcto de ERC-681: `ethereum:` [`pay-`] target [`@` chain_id decimal] [`/` function] [`?` params]; sin function_name = pago nativo; ERC-20 = `transfer` con parámetro `address` (corpus/documentos/erc-681.md, Specification Syntax/Semantics). chainId 11155111 lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1 (§2.6).",
