etapa,criterio,resultado,detalle
web,RV-08,FALLA,1 punto eje=OTRO: #7 (expireSession API muerta; no cae en COMPLETITUD/CORRECCION/INVARIANTES/OPERABILIDAD).
web,RV-09,PASA,7/7 accionable=SI (el «Conflicto de spec» no es punto y declara no requerir acción).
web,RV-10,PASA,R8: bloques HTTP (FST_ERR_BAD_URL / METHOD_NOT_ALLOWED) no aparecen en fuentes del paso2 (sólo en el propio artefacto). Intro L1-12 no resume la lista. «### Conflicto de spec detectado» no es conclusiones de lo listado ni código verbatim.
web,RV-11,PASA,0 FALSO; 0 NO_VERIFICABLE (7 VERDADERO).
web,RV-12,PASA,"0 NO_RESUELTO; 7/7 RESUELTO (frameworkErrors+ignoreTrailingSlash, tests AT-10-01-09/10, parseProfile, quita Salir/expireSession, README §16)."
mobile,RV-01,PASA,Existe snapshots/mobile/paso2-revisor/.pipeline/revision-mobile.md (8835 B) con 10 puntos numerados. No vacío.
mobile,RV-02,PASA,diff -rq paso1 vs paso2: sólo «Only in paso2/.pipeline: revision-mobile.md». `.claude` ya existía en paso1 (arrastre de web); el paso 2 no crea ni modifica nada fuera del artefacto.
mobile,RV-03,PASA,JSONL paso 2: una única Write a /repo/.pipeline/revision-mobile.md. 0 redirecciones shell al artefacto (R6). bash sólo hace `head` de revision-web.md (lectura).
mobile,RV-04,PASA,R7: `npx tsc --noEmit`; `npx jest --ci` / `npm test`; `npx expo export` web/android/ios; `npm run test:e2e`; `curl` deposit-address (202 bash).
mobile,RV-05,FALLA,1 punto con ancla=NINGUNA: #7 (test anti doble-submit; no cita RN/AT/INV/HU ni spec/). #3 y #8 son EJECUCION (válido). Resto SPEC.
mobile,RV-06,PASA,10/10 ubicacion≠NINGUNA (todas ARCHIVO_LINEA).
mobile,RV-07,FALLA,"Secuencia R2: M,M,m,m,m,M,m,m,m,M. 9 pares invertidos: MENOR #3–#5 preceden MAYOR #6 y #10; MENOR #7–#9 preceden MAYOR #10. Primera inversión: #3≺#6."
mobile,RV-08,PASA,0 puntos eje=OTRO.
mobile,RV-09,PASA,10/10 accionable=SI.
mobile,RV-10,PASA,"R8: intro L1-16 es alcance/completitud/operabilidad, no resume la lista; sin conclusiones; sin bloques de código copiados del repo (el artefacto cita rutas:línea, no listings)."
mobile,RV-11,PASA,0 FALSO; 0 NO_VERIFICABLE (10 VERDADERO).
mobile,RV-12,PASA,"0 NO_RESUELTO; 10/10 RESUELTO (logout backend+cliente, clearSession verificado, guarda e2e, escaneo raíz, copy feedback, RATE_LIMITED+tests, pressBypassingDisabled, asyncUtilTimeout, README AT-11-01-12 no cubierto, parse EIP-55 + red del backend)."
