at_id,resultado,test,duracion_segundos,detalle
AT-01-03-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-09,no_automatizado,,,"Mismo impedimento que AT-01-03-04: el Dado requiere un token ya expirado por TTL (3600 s fijos en el entorno de evaluación) y no hay superficie black-box para provocar la expiración en tiempo de test. La cláusula ""solo un nuevo login permite obtener un token válido"" está cubierta en su parte observable por AT-01-02-01/AT-01-02-03 (el login emite token utilizable); la no-reactivación del token expirado se evalúa por inspección de código en H8 (HU-01-03 RN-7)."
AT-01-03-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-03-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-01-04-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-01-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-02-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-03-01,no_automatizado,,,"La estructura del asiento DEPOSIT (type, reference {txHash, logIndex}, postings CREDIT available / DEBIT EXTERNAL, balanceo por activo) no es observable: GET /movements (HU-09-01 RN-22) expone el movimiento cara al usuario, no la partida doble interna, y EXTERNAL es una cuenta técnica interna. El efecto observable (movimiento DEPOSIT visible con su reference, acreditación exacta y única) se verifica en AT-02-04-08, en los ATs de la épica 07 y en los tests de HU-02-05. La estructura del asiento (postings y contraparte EXTERNAL) se evalúa white-box en H8."
AT-02-03-02,no_automatizado,,,"La forma del asiento ORDER_LOCK (type, reference {orderId}, postings DEBIT available / CREDIT locked) no es observable sin superficie de ledger en el contrato de la épica 09. Su efecto sobre los buckets (available −= x, locked += x, total constante) se verifica black-box en AT-02-02-01/02/03. Se evalúa white-box/rúbrica en H8."
AT-02-03-03,no_automatizado,,,"La forma del asiento ORDER_RELEASE (type, reference {orderId}, postings DEBIT locked / CREDIT available) no es observable sin superficie de ledger en el contrato de la épica 09. Su efecto sobre los buckets se verifica black-box en AT-02-02-05/06. Se evalúa white-box/rúbrica en H8."
AT-02-03-04,no_automatizado,,,"La composición del asiento TRADE_FILL (un ÚNICO asiento con seis postings, sub-clasificación kind=FEE hacia EX, reference tradeId, balanceo por activo) no es observable sin superficie de ledger. Los seis montos, las fees y la conservación del fill sí se verifican black-box (balances + pata propia de GET /trades) en AT-02-02-08, AT-02-03-10 y AT-02-04-01. La unicidad y forma del asiento se evalúa white-box/rúbrica en H8."
AT-02-03-05,no_automatizado,,,"Reconstruir balances sumando CREDIT − DEBIT por cuenta/activo/bucket y verificar el determinismo de reprocesar el ledger exige leer los asientos, sin superficie API en la épica 09. La proyección observable (los balances reportados coinciden exactamente con los que produce la secuencia normativa de asientos) se verifica en AT-02-01-07; la persistencia/reconstrucción tras reinicio, en AT-02-04-06. Se evalúa white-box en H8."
AT-02-03-06,no_automatizado,,,"La corrección vía asiento de compensación (REVERSAL con postings inversos y reference {reversedEntryId}, original intacto) es un mecanismo interno del motor contable: el contrato de la épica 09 no expone ninguna operación que dispare una reversión ni una vía para observar asientos/entryId. Se evalúa white-box/rúbrica en H8."
AT-02-03-07,no_automatizado,,,"""No se crea un segundo asiento DEPOSIT"" es una propiedad del ledger, sin superficie API para contar asientos; tampoco hay vía black-box para forzar el reproceso del mismo evento on-chain (el reporte DEPOSIT_ALREADY_CREDITED es interno al pipeline de acreditación). El efecto observable (el balance se acredita una sola vez por identidad (txHash, logIndex), INV-5) se verifica en AT-02-04-08. Se evalúa white-box en H8."
AT-02-03-08,no_automatizado,,,El rechazo de un asiento desbalanceado es una validación interna del motor contable: no existe vía black-box para intentar escribir un asiento arbitrario (Σ CREDIT ≠ Σ DEBIT) a través del contrato de la épica 09. Se evalúa white-box (tests propios del SUT o inspección) en H8.
AT-02-03-09,no_automatizado,,,"Requiere inyectar una falla después de persistir algunos postings y antes de completar el asiento (el mecanismo de inyección de AT-02-04-02): es infraestructura interna del SUT, sin superficie black-box para provocarla determinísticamente ni para observar asientos parciales. Se evalúa como test de integración white-box en H8."
AT-02-03-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-03-11,no_automatizado,,,"Requiere inyectar una falla ENTRE la escritura del TRADE_FILL y la del ORDER_RELEASE de surplus dentro de la misma transacción (mecanismo de AT-02-04-02, interno al SUT). Sin esa inyección, la unidad atómica de los dos asientos no es falsable black-box. El efecto observable del camino feliz (consumo + liberación de surplus en la misma operación) se verifica en AT-02-02-07/13. Se evalúa como test de integración white-box en H8."
AT-02-04-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-02,no_automatizado,,,El propio escenario declara el prerrequisito de infraestructura: un repositorio configurable que lanza una excepción tras persistir el N-ésimo posting (o una violación de constraint en el 4.º). Ese punto de inyección es interno a la implementación y el contrato HTTP/WS no ofrece forma de provocarlo ni de sincronizarlo. Se evalúa como test de integración white-box en H8.
AT-02-04-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-07,no_automatizado,,,"La ""caída"" debe ocurrir mientras una transacción de balance está sin committear: desde afuera no se puede interrumpir el proceso en ese instante de forma determinista (matar el SUT al azar no garantiza la ventana). La parte observable de la recuperación (balances reconstruidos idénticos tras reinicio) se verifica en AT-02-04-06. Se evalúa white-box/inspección en H8."
AT-02-04-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-04-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-02-05-14,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-01-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-02-07,no_automatizado,,,"Verifica la garantía INTERNA del motor ante una segunda inserción con el mismo orderId ""que sorteó la idempotencia de la épica 04"" (la propia HU aclara que no se trata de la respuesta HTTP DUPLICATE_CLIENT_ORDER_ID, que sí cubre la suite en la épica 04/09). Black-box no existe forma de inyectar una inserción duplicada al motor salteando la épica 04: todo POST /orders con clientOrderId repetido se corta antes (409) y uno nuevo genera otro orderId. Se evalúa white-box (tests unitarios del motor / inspección) en H8."
AT-03-03-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-03-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-04-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-05-08,no_automatizado,,,"El AT verifica la emisión del evento interno order-update con status REJECTED (reason SELF_TRADE_BLOCKED, sin tradeId) hacia los consumidores del motor. La épica 09 excluye deliberadamente ese evento del transporte: HU-09-04 RN-5 fija que no existe evento WS REJECTED (los rechazos responden sólo por REST) y el objeto orden REST no lleva reason. El efecto observable (422 SELF_TRADE_BLOCKED, cero trades, libro/balances intactos, orden terminal REJECTED) sí se verifica en AT-03-06-02/06/07 y AT-03-03-10; la emisión del evento en sí se evalúa white-box en H8."
AT-03-05-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-06-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-04,no_automatizado,,,"Exige inducir una caída EN MEDIO de un fill (settlement no completado) para verificar la atomicidad de la recuperación; la propia HU indica el mecanismo (""inyección de fallo... usando un hook de test o una simulación de I/O"", AT-03-07-04). No hay superficie black-box para abortar el proceso en ese punto interno de forma determinista (un kill externo no sincroniza con el settlement). Se evalúa white-box (hook de inyección de fallos) en H8; la persistencia ante reinicio abrupto ""en reposo"" sí se cubre en AT-03-07-01/02/03/06."
AT-03-07-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-03-07-09,no_automatizado,,,"El Dado exige una caída ocurrida DESPUÉS de persistir los fills de una MARKET pero ANTES de grabar su estado terminal, para verificar la inferencia del estado (RN-13). Ese instante intermedio es interno y no puede provocarse black-box de forma determinista (en operación normal el estado terminal queda grabado junto con el 201). La recuperación del estado terminal de una MARKET tras un reinicio normal queda cubierta indirectamente por AT-03-07-06 (estado idéntico tras reinicio); la inferencia desde fills sin estado terminal se evalúa white-box en H8."
AT-04-01-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-14,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-01-15,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-05a,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-05b,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-12a,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-12b,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-02-14,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-14,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-15,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-16,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-17,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-18,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-03-19,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-04-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-05-14,no_automatizado,,,"Exige interrumpir un alta en curso (crash del proceso entre la reserva de fondos y el registro del estado) y recuperar: requiere inyección de fallas en un punto interno del SUT, sin superficie black-box para provocarla ni para observar el instante exacto. La parte observable (ninguna consulta devuelve NEW) queda cubierta de forma indirecta por los tests de estados (el status de cada respuesta/consulta se asserta contra estados observables). El caso de crash se evalúa en H8 por inspección de código (atomicidad del alta, HU-04-05 RN-11) más el chequeo manual de reinicio."
AT-04-06-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-06-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-06,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-07,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-08,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-09,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-10,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-11,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-12,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-13,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-04-07-14,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-01,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-02,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-03,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-04,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-05,sin_test,,,AT backend sin test ni declaración de no automatizable
AT-05-01-06,no_automatizado,,,"Exige provocar una falla a mitad del settlement (después de debitar la base y antes de acreditar la quote): la propia HU fija como mecanismo de prueba la inyección de falla en la capa de persistencia (mock que lanza excepción tras el primer asiento) o el kill del proceso en vuelo, sin superficie REST/WS/on-chain para dispararla en el instante requerido. El efecto observable en operación normal (nunca hay estado parcial: balances y trades consistentes tras cada fill, INV-4) queda cubierto como propiedad por los tests de AT-05-01-01..05/08/10/11; el rollback ante falla se evalúa white-box/inspección de transaccionalidad en H8."
